timestep,reward
2,-0.0625
2691,-0.07
5368,-0.011
8028,-0.0665
10747,0.0445
13471,0.0215
16092,-0.0125
19750,0.371
24036,0.465
28241,0.4315
32584,0.5395
36945,0.4215
41320,0.6395
45767,0.5435
50280,0.682
54737,0.5145
59220,0.639
63678,0.6685
68129,0.609
72607,0.566
77147,0.425
81632,0.5225
86255,0.5635
90736,0.6835
95161,0.5715
99711,0.724
104172,0.6485
108599,0.56
113012,0.5665
117397,0.6585
121797,0.6925
126185,0.6085
130523,0.777
134993,0.5335
139508,0.6155
143934,0.4805
148357,0.7225
152738,0.5355
157071,0.627
161431,0.566
165779,0.4305
170108,0.7765
174438,0.5395
178685,0.6425
182951,0.6895
187255,0.722
191562,0.63
195945,0.5135
200254,0.532
204530,0.5695
